name,latitude,longitude,type,volcano_number
Porquesa,-19.958,-68.73,Minor | Lava dome(s),355819
Potato Butte,40.63,-121.43,Cluster | Shield(s),323811
Poyo,19.223,145.524,Composite | Stratovolcano,284152
Pouakai,-39.23,174.02,Composite | Stratovolcano,241813
Potor,-23.2,-67.67,Composite | Stratovolcano,355847
Porr,2.9,36.55,Minor | Pyroclastic cone,222828
Potrillo Volcanic Field,31.98,-107.13,Cluster | Pyroclastic cone(s),327810
Poza Rica,20.42,-97.83,Cluster | Volcanic field,341829
Prindle,63.716,-141.634,Minor | Pyroclastic cone,315800
"Primavera, Sierra la",20.62,-103.52,Caldera | Caldera,341820
Psathoura,39.5,24.18,Minor | Lava dome,212800
Prodolny,55.45,157.25,Shield | Shield(s),300868
Puelche Volcanic Field,-35.78,-70.48,Cluster | Volcanic field,357804
"Pucara, Cerro",-16.236,-69.471,Cluster | Volcanic field,355807
Pueblo Nuevo Viñas,14.199,-90.505,Composite | Stratovolcano,342803
Pulau Weh,5.82,95.28,Composite | Stratovolcano,261800
Pumpan,-18.85,169.12,Composite | Stratovolcano,257807
"Pulpito, Punta",26.517,-111.444,Minor | Lava dome,341804
Punikan,-8.47,116.13,Unknown | Unknown,264834
Putoto,-27.857,-177.621,Composite | Stratovolcano,242040
"Puntas, Cerro",-0.174,-78.2,Composite | Stratovolcano,352809
"Purupuruni, Cerros",-17.2587,-69.8216,Minor | Lava dome(s),354804
Putzalagua,-0.962,-78.56,Minor | Lava dome,352817
Puyo,-1.459,-77.917,Minor | Pyroclastic cone(s),352820
"Putri, Gunung",-7.269,107.973,Minor | Lava dome,263160
"Qiranah, Jabal al",30.73,35.75,Cluster | Volcanic field,430815
Quartz Mountain,43.629,-120.899,Minor | Lava dome,322824
Qal'eh Hasan Ali,29.375,57.55,Cluster | Maar(s),232020
Olmoti,-3.0,35.65,Caldera | Caldera,222830
Quetena,-22.25,-67.42,Cluster | Fissure vent,355836
Quesnel Cone Group,52.5,-121.17,Minor | Pyroclastic cone(s),320817
"Queva, Nevado",-24.309,-66.732,Unknown | Unknown,355864
Radicofani,42.899,11.769,Minor | Volcanic remnant,211801
"Quindio, Nevado del",4.701,-75.386,Composite | Stratovolcano,351801
Rabida,-0.413,-90.708,Minor | Lava dome(s),353802
Raiden,42.901,140.473,Composite | Stratovolcano(es),285809
Quinchilca,-39.68,-72.008,Composite | Stratovolcano(es),357813
"Rahah-'Uwayrid, Harrat ar",27.408,37.279,Cluster | Volcanic field,231015
Raja-Sabanda,-2.228,101.43,Unknown | Unknown,461838
Raja,-4.83,104.08,Unknown | Unknown,261820
Rainbow Mountain,41.474,-121.956,Composite | Stratovolcano,323803
Rakahore,-26.81,-177.4,Composite | Stratovolcano,242043
Rajabasa,-5.7803,105.6314,Composite | Stratovolcano,261290
Ramu-Labumbu,-8.416,118.207,Unknown | Unknown,464807
Rakkibetsudake [Demon],45.501,148.8608,Composite | Stratovolcano,290110
Rarotonga,-21.23,-159.75,Shield | Shield,333806
Raton-Clayton,36.42,-104.08,Cluster | Volcanic field,327820
Rapuhia,-34.776,178.505,Composite | Stratovolcano,241142
Razlaty,54.02,159.38,Composite | Stratovolcano,300843
Red Top Mountain,43.51,-122.03,Shield | Shield(s),322820
Red Lake Mountain,40.571,-121.594,Minor | Pyroclastic cone,323814
Rekkame Volcanic Field,33.17,-3.33,Cluster | Explosion crater(s),225803
Rendova,-8.47,157.33,Composite | Stratovolcano,255806
"Redondo, Cerro",14.263,-89.6093,Shield | Shield(s),342813
Ringgit,-7.72,113.85,Composite | Stratovolcano,263808
Reporoa,-38.42,176.33,Caldera | Caldera,241060
"Reforma, La",27.508,-112.392,Caldera | Caldera,341803
"Rio Negro, Cerro de",-23.398,-67.582,Composite | Stratovolcano,355850
Rio Murta,-46.17,-72.708,Minor | Pyroclastic cone(s),358058
Roca Redonda,0.27,-91.63,Shield | Shield,353807
"Rittmann, Mount",-73.45,165.5,Shield | Shield,390812
Roccamonfina,41.3,13.93,Composite | Stratovolcano,211811
Rochaculla-Inca Camacha,-18.8,-68.3,Composite | Stratovolcano(es),355815
Rodriguez Island,-19.7,63.42,Shield | Shield,233804
Rodderberg,50.62,7.2,Minor | Pyroclastic cone,210813
Romanovka,55.65,158.8,Composite | Stratovolcano,300340
Rota,12.55,-86.75,Composite | Stratovolcano,344060
Rucharu [Golets-Tornyi Group],45.25,148.3,Minor | Pyroclastic cone(s),290091
Rudakov,45.8719,149.8233,Composite | Stratovolcano,290112
Ruminahui,-0.578,-78.504,Composite | Stratovolcano,352814
Rungapapa Knoll,-37.547,176.98,Minor | Cone,241821
Sabinyo,-1.388,29.592,Composite | Stratovolcano,223801
Robinson Crusoe,-33.658,-78.85,Shield | Shield(s),356020
Sabatini Complex,42.17,12.22,Composite | Stratovolcano(es),211809
Sabalan,38.268,47.835,Composite | Stratovolcano,232002
SW Usangu Basin,-8.75,33.8,Cluster | Lava dome(s),222163
"Saboke, Doro",-8.68,119.12,Unknown | Unknown,264838
Rotorua,-38.08,176.27,Caldera | Caldera,241816
Sadiman,-3.18,35.42,Composite | Stratovolcano,222810
Ryohaku Maruyama,36.046,136.8,Composite | Stratovolcano,283832
Rumble II East,-35.418,178.652,Composite | Stratovolcano,241129
Saddle Butte,43.0,-117.8,Cluster | Volcanic field,322837
Sagoatoa,-1.151,-78.666,Composite | Stratovolcano,352818
"Sajama, Nevado del",-18.1,-68.88,Composite | Stratovolcano,355809
Sahand,37.75,46.43,Composite | Stratovolcano,232001
Salas y Gomez,-26.47,-105.47,Shield | Shield?,356800
Salina,38.58,14.85,Composite | Stratovolcano(es),211816
Samakkenupuri,43.681,144.736,Composite | Stratovolcano,285825
"San Agustin, Cerro",-21.25,-67.75,Composite | Stratovolcano,355824
San Augustin-Isnos,1.92,-76.23,Cluster | Volcanic field,351808
San Carlos,33.25,-110.25,Cluster | Volcanic field,329803
Rurutu,-22.45,-151.35,Shield | Shield,333807
San Diego,14.27,-89.48,Cluster | Volcanic field,343001
San Francisco,-26.919,-68.263,Composite | Stratovolcano,355861
San Diego,5.65,-74.961,Minor | Maar,351001
San Juan,18.87,-71.33,Minor | Pyroclastic cone(s),360802
San Felix,-26.294,-80.112,Shield | Shield,356010
San Martin Pajapan,18.303,-94.73,Composite | Stratovolcano(es),341830
"San Jacinto, Cerro",12.37,-86.02,Composite | Stratovolcano,344803
Runcing,-1.755,101.627,Unknown | Unknown,261862
San Ignacio Volcanic Field,27.633,-113.05,Cluster | Volcanic field,341801
San Juan,21.47,-104.97,Composite | Stratovolcano(es),341810
San Pedro,14.656,-91.267,Composite | Stratovolcano,342810
San Sebastian Volcanic Field,20.83,-104.82,Cluster | Pyroclastic cone(s),341815
San Venanzo,42.862,12.266,Minor | Maar,211803
"San Miguel, Cerro",10.022,-84.708,Minor | Lava dome,345804
San Pedro-San Pablo,-21.888,-68.391,Composite | Stratovolcano(es),355070
Sangay,13.52,123.53,Unknown | Unknown,273802
Sanggabuana,-6.58,107.22,Composite | Stratovolcano,263813
Sangenges,-8.58,117.122,Composite | Stratovolcano,264843
Sanford,62.213,-144.13,Shield | Shield,315010
San Quintin Volcanic Field,30.467,-116.012,Cluster | Pyroclastic cone(s),341002
Santa Clara,37.257,-113.625,Cluster | Volcanic field,327010
Santa Cruz,-0.648,-78.631,Composite | Stratovolcano,352816
Santa Maria del Oro,21.371,-104.571,Minor | Maar,341812
Santo Antao,17.07,-25.17,Composite | Stratovolcano,384800
Santo Tomas,16.33,120.55,Composite | Stratovolcano,273086
Santo Domingo Volcanic Field,22.83,-100.08,Cluster | Maar(s),341808
Sao Nicolau,16.62,-24.35,Composite | Stratovolcano,384801
Santa Fe,-0.806,-90.07,Shield | Shield,353804
Santo Tomas-Zunil,14.71,-91.479,Composite | Stratovolcano(es),342800
San Pedro,21.17,-104.73,Caldera | Caldera,341814
Santa Rosa,4.8,-75.458,Shield | Shield,351800
Sapporo,42.898,141.204,Shield | Shield,285815
Sara Sara,-15.3299,-73.4456,Composite | Stratovolcano,354002
Sao Vicente,16.85,-24.97,Composite | Stratovolcano,384030
Saray,37.861,45.477,Minor | Unknown,232003
Satah Mountain,52.417,-124.617,Cluster | Volcanic field,320130
Sarik-Gajah,0.074,100.189,Minor (Silicic) | Pyroclastic cone(s),261131
Sao Tome,0.2,6.58,Shield | Shield,224001
Satsuma Maruyama,31.799,130.411,Minor | Lava dome,282805
Savan,52.21,157.28,Shield | Shield,300817
Savonovski River Cluster,58.55,-154.5,Composite | Stratovolcano(es),312806
Sawal,-7.18,108.27,Composite | Stratovolcano,263820
Scott Mountain,44.241,-121.915,Shield | Shield,322809
Schmidt,54.92,160.63,Shield | Shield,300201
Sedakeling,-7.12,108.03,Composite | Stratovolcano,263819
Seamount JF6,-33.427,-76.87,Minor | Lava dome?,356040
Sekincau Belirang,-5.107,104.317,Composite | Caldera(s),261260
Selawik Hills,66.033,-160.067,Cluster | Pyroclastic cone(s),314805
Sekita,36.974,138.386,Composite | Stratovolcano?,283852
Selokaki,-7.83,112.35,Composite | Stratovolcano,263821
Sellandafjall,65.42,-17.03,Composite | Tuya,373804
Seal Nunataks Volcanic Field,-65.03,-60.05,Cluster | Pyroclastic cone(s),390050
Sendai,31.731,130.451,Minor | Pyroclastic cone,282804
"Sembuang, Gunung",4.62,97.42,Minor | Explosion crater,261808
Sengoku,34.186,131.76,Minor | Lava dome(s),283803
Seraja,-8.377,115.654,Unknown | Unknown,264833
Sentinel Plain,32.8,-113.2,Cluster | Volcanic field,329801
Sergief,52.05,-174.95,Composite | Stratovolcano,311150
Septentrional Chain,16.23,-61.72,Minor | Lava dome(s),360809
Seulawah Inong,5.43,95.77,Unknown | Unknown,261858
Shahsavaran,28.152,59.281,Cluster | Volcanic field,232808
Shamiram Plateau,40.2,44.15,Cluster | Volcanic field,214803
Seulawah Agam,5.4472,95.6555,Composite | Stratovolcano,261020
Shari,43.763,144.722,Composite | Stratovolcano,285827
Sheldon-Antelope,41.8,-119.1,Cluster | Volcanic field,326810
Shepard Island,-74.424,-132.55,Minor | Tuff cone(s),390822
Shestakov,49.4824,154.7589,Composite | Stratovolcano,290809
Shirataka,38.22,140.176,Composite | Stratovolcano,283872
Shikaribetsu Group,43.267,143.1,Cluster | Lava dome(s),285062
Shiitokoro,43.61,143.184,Minor | Lava dome,285820
Shiribetsu,42.767,140.916,Composite | Stratovolcano,285811
Shikuma,34.098,131.761,Minor | Lava dome(s),283801
Shiretoko,44.23,145.278,Composite | Stratovolcano,285830
Shirouma-Oike,36.786,137.802,Composite | Stratovolcano(es),283841
Shishel,57.45,160.37,Shield | Shield,300580
Shlen,57.48,159.57,Shield | Shield,300898
Shombole,-2.131,36.1,Minor | Cone,422821
Sigurd,79.17,13.5,Minor | Explosion crater,377800
Silay,10.7701,123.233,Composite | Stratovolcano,272040
Sibualbuali,1.556,99.255,Composite | Stratovolcano,261110
Sifford Mountain,40.416,-121.412,Shield | Shield,323818
Siete Orejas,14.82,-91.62,Composite | Stratovolcano,342809
Silver Creek,43.4,-119.5,Cluster | Volcanic field,322836
Silent II West,-35.169,178.902,Composite | Stratovolcano,241134
"Sierpe, Lomas de",10.376,-83.545,Shield | Shield(s),345809
"Simacak, Uruk",3.237,98.433,Composite | Stratovolcano,261823
Silent II East,-35.21,178.978,Composite | Stratovolcano,241135
Silver Hills,16.81,-62.194,Minor | Lava dome(s),360807
Simcoe,46.1,-120.9,Cluster | Volcanic field,321803
Silver Lake Volcanic Field,40.731,-121.841,Cluster | Volcanic field,323050
Sincholagua,-0.534,-78.371,Composite | Stratovolcano,352813
Simbolon,3.02,98.9,Composite | Stratovolcano,261814
Sinker Butte,43.25,-116.62,Shield | Shield,324800
Smelter Knolls,39.434,-112.857,Minor | Lava dome(s),327802
Snegovoy,58.2,160.97,Shield | Shield,300690
Siple,-73.43,-126.67,Shield | Shield,390025
Skalistiy,52.02,157.18,Shield | Shield,300814
Sisa,-6.13,142.73,Composite | Stratovolcano,253801
Skalistiy,53.6266,159.2912,Unknown | Unknown,300834
Snezhniy,58.02,160.8,Shield | Shield,300660
Snoul,12.1,106.4,Unknown | Unknown,275811
Singu Plateau,22.7,95.98,Cluster | Fissure vent(s),275100
Skookum Creek,62.4,-143.147,Cluster | Lava dome(s),315809
Snow Mountain,40.763,-121.798,Composite | Stratovolcano,323808
Sone,33.053,129.083,Minor | Pyroclastic cone,282809
South Auckland,-37.37,174.92,Cluster | Shield(s),241802
Soso,-13.764,-170.235,Composite | Stratovolcano,244012
South Harghita Mountains,46.13,25.88,Minor | Lava dome(s),210801
Solimana,-15.4,-72.9,Composite | Stratovolcano,354803
Sordo Lucas,-34.987,-70.456,Composite | Stratovolcano,357805
Southern Guadalajara,20.525,-103.242,Cluster | Volcanic field,341821
South Daikoku,21.023,144.525,Composite | Stratovolcano,284146
Sprague River Valley,42.5,-121.5,Cluster | Shield(s),322832
Springerville Volcanic Field,34.192,-109.629,Cluster | Volcanic field,329802
Southern Shepherd Islands,-17.2525,168.4245,Composite | Stratovolcano,257810
Squamish,49.65,-123.22,Cluster | Volcanic field,320812
St. George,56.58,-169.58,Cluster | Volcanic field,314800
Steamboat Springs,39.375,-119.72,Minor | Lava dome(s),326801
Strutur,63.839,-18.932,Composite | Tuya,372800
Sturgeon Volcanic Province,-20.35,144.25,Shield | Shield(s),259808
Suaru,-6.25,144.83,Composite | Stratovolcano,253810
Sugarloaf,-5.8206,143.8089,Cluster | Volcanic field,253805
Sukadana Basalts,-5.25,105.65,Cluster | Fissure vent,261822
Sukai-Kesemaru,36.687,139.34,Composite | Stratovolcano(es),283859
Sultan,29.1,62.8,Cluster | Volcanic field,232801
Sultan Hamud-Simba,-2.12,37.4,Cluster | Volcanic field,222812
Sumon,37.395,139.14,Composite | Stratovolcano,283868
Sunagohara,37.454,139.688,Caldera | Caldera,283869
Sunequera,-21.98,-67.23,Shield | Shield,355837
Sutter Buttes,39.206,-121.821,Minor | Lava dome(s),323821
Suphan Dagi,38.931,42.833,Composite | Stratovolcano,213021
Sverrefjell,79.43,13.3,Minor | Pyroclastic cone,377802
Syoyo Ridge,22.546,142.863,Composite | Complex,284122
Tabar,-2.9481,152.0364,Composite | Stratovolcano,254800
Sokol,55.2,160.52,Composite | Stratovolcano,300852
Taftan,28.6,61.13,Composite | Stratovolcano,232050
Taga,35.078,139.031,Composite | Stratovolcano,283820
Tahiti-Iti,-17.798,-149.237,Shield | Shield,333804
Tahiti-Nui,-17.696,-149.523,Shield | Shield,333803
South Coromandel Peninsula,-37.25,175.78,Cluster | Volcanic field,241807
Taihangshanlu,38.0,113.75,Unknown | Unknown,305842
Takamatsu,38.965,140.61,Composite | Stratovolcano,283880
Tahulandang,2.3533,125.4119,Caldera | Caldera,267012
Takara,35.343,134.922,Shield | Shield,283813
"Tablas, Cerro las",14.07,-89.4,Composite | Stratovolcano(es),343801
Sonne,-34.077,179.576,Composite | Stratovolcano,241200
Tamagawa,39.897,140.781,Caldera | Caldera,283886
Tacora,-17.7209,-69.7728,Composite | Stratovolcano(es),355010
Takur-Takur,3.222,98.627,Unknown | Unknown,261812
Tamai,-13.746,-170.543,Composite | Stratovolcano,244013
Takayashiro,36.796,138.407,Composite | Stratovolcano,283851
Tamata,2.7183,125.3823,Composite | Stratovolcano,267019
Tambo Quemado,-18.62,-68.75,Shield | Shield(pyroclastic),355021
Tambor Grande,10.97,-84.08,Caldera | Caldera,344805
Tanaba,34.907,138.852,Composite | Stratovolcano,283816
Tanga,-3.4669,153.201,Composite | Stratovolcano,254801
Tanggamus,-5.427,104.675,Composite | Stratovolcano,261865
Tanada,62.3,-143.52,Shield | Shield,315804
South East Range,17.33,-62.77,Composite | Stratovolcano,360805
Tangy'n,35.25,114.5,Unknown | Unknown,305834
Tangi,-5.67,148.4,Composite | Stratovolcano,252800
Taos Plateau,36.83,-105.83,Cluster | Volcanic field,327818
Taradake,32.984,130.079,Composite | Stratovolcano,282811
Tarowa,-8.704,118.161,Caldera | Caldera,264845
Tashiro,40.426,140.412,Composite | Stratovolcano,283890
"Tatio, Volcan",-22.42,-68.02,Composite | Stratovolcano,355840
"Tatajachura, Cerro",-19.5,-69.12,Composite | Stratovolcano,355817
Tawau Hills,4.383,117.95,Cluster | Pyroclastic cone,269010
Tavani Ruro,-16.8004,168.4383,Composite | Stratovolcano,257062
Tauranga Volcanic Centre,-37.833,176.1,Cluster | Volcanic field,241824
Taylor Valley,-77.748,161.526,Minor | Pyroclastic cone(s),390819
Taylor Butte,43.805,-122.018,Shield | Shield,322814
Taylor Volcanic Field,35.33,-107.45,Composite | Stratovolcano,327814
Tazawa,39.718,140.665,Caldera | Caldera(?),283883
Tekletunup,57.75,160.23,Shield | Shield,300901
"Telago, Gunung",4.47,96.82,Unknown | Unknown,261807
Te Kawa,-38.079,175.295,Minor | Cone,241822
Soranuma,42.863,141.257,Shield | Shield,285814
Telapon,19.37,-98.72,Composite | Stratovolcano,341826
Telaga,0.7225,127.427,Caldera | Caldera,268064
Telomoyo,-7.3613,110.3998,Composite | Stratovolcano,263231
"Telor, Bukit",-1.245,103.523,Minor | Pyroclastic cone,261818
"Tenaroh, Bukit",3.12,98.63,Unknown | Unknown,261813
Tengu-Hirayama,43.776,143.016,Composite | Stratovolcano(es),285819
Tenshi,34.924,138.968,Composite | Stratovolcano,283818
Terre de Bas,15.87,-61.63,Composite | Stratovolcano(es),360813
Tepi,7.424,35.43,Shield | Shield,221292
Tequila,20.788,-103.847,Composite | Stratovolcano,341818
Terror,-77.52,168.55,Shield | Shield,390813
Thaton,17.42,96.95,Cluster | Fissure vent(s),275821
Teu Minas,5.17,96.43,Composite | Stratovolcano,261802
Tepetiltic,21.27,-104.7,Composite | Stratovolcano,341813
Thielsen,43.153,-122.065,Shield | Shield,322827
Thorisjokull,64.53,-20.7,Shield | Shield,371805
"Tiga, Bukit",-3.308,102.256,Composite | Stratovolcano,261202
Thomazeau,18.68,-72.08,Minor | Pyroclastic cone(s),360801
Three Fingered Jack,44.48,-121.842,Shield | Shield(s),322805
Tigalalu,0.07,127.42,Composite | Stratovolcano,268071
Thompson,-35.285,178.863,Composite | Stratovolcano,241133
Tigilsky,56.812,159.111,Shield | Shield,300888
Tilu,-7.156,107.529,Composite | Stratovolcano,263804
"Tilaran, Cerro",10.4665,-84.9765,Shield | Shield,345801
Tlaloc,19.411,-98.713,Composite | Stratovolcano,341825
Tisingal,8.88,-82.67,Composite | Stratovolcano,346800
Tigris Lava Flows,37.13,41.85,Cluster | Volcanic field,230800
Tabarin Peninsula,-63.6,-57.0,Shield | Shield?,390828
Tisa,-14.407,-171.221,Composite | Stratovolcano,244035
Tin Taralle Volcanic Field,18.27,9.33,Cluster | Volcanic field,225800
Togiak Valley,59.2,-160.08,Cluster | Volcanic field,314803
"Tocorpuri, Cerros de",-22.439,-67.888,Composite | Stratovolcano,355842
Tokachi-Eboshi,43.376,143.133,Minor | Lava dome(s),285823
Toba,2.6083,98.8417,Caldera | Caldera,261090
Tokara Hirase,30.036,130.058,Unknown | Unknown,282820
Tokachi-Mitsumata,43.52,143.15,Caldera | Caldera,285822
Tocomar,-24.2,-66.5,Cluster | Unknown,355865
Tolmachev,52.55,157.73,Composite | Stratovolcano(es),300823
Tomuraushi Volcanic Group,43.525,142.852,Composite | Stratovolcano(es),285816
Toney Mountain,-75.8,-115.83,Shield | Shield,390026
Tore,-5.835,154.935,Minor | Lava cone,255000
Tongoa,-16.9,168.5611,Composite | Unknown,257075
Torikabuto,36.836,138.587,Composite | Stratovolcano,283854
Torre Alfina,42.753,11.943,Minor | Volcanic remnant,211802
Toroeng Prong,14.733,108.483,Unknown | Pyroclastic cone,275030
Tosa Sucha,5.967,37.629,Cluster | Pyroclastic cone(s),221310
Tokuyama-Mitake,34.189,131.844,Minor | Lava dome,283802
Tomuro,36.528,136.75,Minor | Lava dome(s),283836
Tracey Seamount,13.65,144.42,Composite | Stratovolcano,284803
Tortuguero,10.586,-83.53,Minor | Pyroclastic cone,345808
Toku,-18.163,-174.181,Composite | Stratovolcano,243095
Tolokiwa,-5.32,147.58,Composite | Stratovolcano,251804
Trader Mountain,55.565,-161.944,Composite | Stratovolcano,312801
Trafalgar,-9.17,149.17,Composite | Stratovolcano,253815
"Trautrén, Cerro",-39.17,-71.4,Composite | Stratovolcano(es),357810
Table Mountain,40.557,-121.55,Composite | Stratovolcano,323815
Transantarctic Mountain Foothills,-78.0,163.83,Minor | Unknown,390817
Tondano Caldera,1.23,124.83,Caldera | Caldera,266070
Tretya Rechka,51.4,156.57,Shield | Shield,300803
Tres Virgenes,27.47,-112.591,Composite | Stratovolcano(es),341010
Tri Sestry,45.9256,149.9222,Composite | Stratovolcano,290113
Tralihue,-38.509,-70.898,Composite | Stratovolcano,357101
Tres Cruces,-27.08,-68.8,Composite | Stratovolcano,355862
Trindade,-20.514,-29.331,Composite | Stratovolcano,385051
Trolon,-37.738,-70.906,Minor | Lava dome(s),357081
Tujuh,-1.7,101.42,Composite | Stratovolcano,261861
Tukuyu,-9.26,33.648,Shield | Shield,422826
Tumac Mountain,46.713,-121.352,Minor | Pyroclastic cone,321800
Tulaga,-14.518,-170.024,Composite | Unknown,244022
Tumanniy,51.191,156.939,Shield | Shield,300801
Tumble Buttes,40.68,-121.55,Minor | Pyroclastic cone(s),323060
Tumisa,-23.46,-67.81,Composite | Stratovolcano,355851
Tumrok,55.37,160.87,Shield | Shield,300853
Tungnaarfjoll,64.164,-18.496,Cluster | Fissure vent(s),373800
Tunkin Depression,51.5,102.5,Cluster | Volcanic field,302050
Tuzgle,-24.0562,-66.479,Composite | Stratovolcano,355150
Tsirk,45.4,148.58,Caldera | Caldera,290802
Tafna Beni Saf,35.28,-1.45,Cluster | Volcanic field,225805
Tungkat,-2.48,102.026,Unknown | Unknown,461840
Tuzo Wilson Knolls,51.38,-131.03,Minor | Lava dome?,331100
Tupungato,-33.359,-69.77,Composite | Stratovolcano,357800
Tshibinda,-2.32,28.75,Cluster | Pyroclastic cone(s),223080
"Tudeuk, Gunung",5.0,96.57,Minor | Lava dome,261805
Tumalo,44.099,-121.541,Minor | Lava dome(s),322810
Tsaolingshan,24.83,121.28,Shield | Shield,281801
Tuzovsky,57.32,159.967,Shield | Shield(s),300540
Udochka,52.5,157.2,Shield | Shield,300821
Udonejima,34.469,139.297,Composite | Stratovolcano,284800
Ueno,35.59,137.505,Shield | Shield,283827
Uka,57.706,160.59,Shield | Shield,300610
Uksichan,56.08,158.38,Shield | Shield,300350
Tsuruta,35.338,133.422,Minor | Pyroclastic cone(s),283810
Uchkoren,57.27,161.35,Composite | Unknown,300864
Ulubelu,-5.334,104.59,Caldera | Caldera,261280
Unabetsu,43.874,144.881,Composite | Stratovolcano,285828
Unana,54.63,159.72,Composite | Stratovolcano,300846
Ulvaney,57.78,160.62,Shield | Shield,300902
Tynua,55.85,157.87,Shield | Shield(s),300870
Ungaran,-7.1876,110.3455,Composite | Stratovolcano,263230
Undurer,12.171,41.396,Composite | Stratovolcano,221824
Unnamed,40.058,45.608,Cluster | Volcanic field,214804
Unea,-4.888,149.143,Caldera | Caldera,252811
Unnamed,39.617,46.1,Cluster | Volcanic field,214805
Twin Buttes,40.777,-121.591,Cluster | Pyroclastic cone(s),323040
Unnamed,19.45,105.53,Cluster | Volcanic field,275801
Unnamed,51.95,157.02,Shield | Shield,300812
Unnamed,56.53,160.87,Cluster | Pyroclastic cone(s),300861
Unnamed,54.37,159.43,Composite | Stratovolcano,300845
Unnamed,55.52,158.43,Shield | Shield,300873
Unnamed,55.88,158.83,Composite | Stratovolcano(es),300877
Unnamed,56.93,159.95,Minor | Lava dome(s),300895
Unnamed,56.97,158.75,Shield | Shield,300886
Unnamed,35.47,82.92,Unknown | Unknown,304803
Unnamed,35.85,91.7,Cluster | Volcanic field,304040
Unnamed,38.75,115.0,Unknown | Unknown,305843
Unnamed,14.65,-61.08,Cluster | Volcanic field,360816
Unnamed,37.0,114.5,Unknown | Unknown,305841
Unnamed,39.25,113.52,Unknown | Unknown,305844
Unnamed,23.3,116.15,Unknown | Unknown,305831
Unnamed,2.2,-76.03,Cluster | Volcanic field,351807
Unnamed,-73.45,164.58,Cluster | Pyroclastic cone(s),390014
Unnamed,-19.438,-174.952,Composite | Stratovolcano,243065
Unnamed,-21.804,-175.941,Composite | Stratovolcano,243009
Unnamed,-50.457,-139.154,Minor | Cone,335040
Unnamed,-22.096,-176.0,Composite | Stratovolcano,243013
Unnamed,-22.459,-176.351,Composite | Stratovolcano,243016
Unnamed,-22.219,-176.124,Composite | Stratovolcano,243014
Unnamed,-22.061,-176.21,Composite | Stratovolcano,243012
Unnamed,-22.846,-176.43,Composite | Stratovolcano,243018
Unnamed,-23.878,-176.788,Composite | Stratovolcano,243007
Unnamed,-24.475,-176.923,Composite | Stratovolcano,243005
Unnamed,-23.581,-176.663,Composite | Stratovolcano,243008
Unnamed,-24.178,-176.887,Composite | Stratovolcano,243006
Unnamed,-24.58,-176.924,Composite | Stratovolcano,243004
Unnamed,-25.15,-177.18,Composite | Stratovolcano,243002
Unnamed,-25.418,-177.103,Composite | Stratovolcano,243003
Unnamed,-16.2,-173.92,Composite | Stratovolcano,243104
Unnamed,-16.655,-173.773,Composite | Stratovolcano,243105
Unnamed,-17.231,-173.962,Composite | Stratovolcano,243107
Unnamed,-16.968,-173.848,Composite | Stratovolcano,243106
Unnamed,-17.551,-174.154,Composite | Stratovolcano,243108
Unnamed,-17.842,-174.197,Composite | Stratovolcano,243109
Unnamed,-18.1961,168.8243,Composite | Stratovolcano,257085
Vakak Group,34.25,67.97,Cluster | Volcanic field,232070
Vakinankaratra,-19.85,46.942,Cluster | Volcanic field,233015
Valdalda,64.97,-16.48,Shield | Shield,373802
Uturuncu,-22.27,-67.18,Composite | Stratovolcano,355838
Valle Nuevo,18.83,-70.67,Cluster | Volcanic field,360804
Utila Volcanic Center,16.113,-86.888,Minor | Pyroclastic cone(s),343160
Utsukushigahara,36.223,138.111,Shield | Shield,283826
"Valle, El",8.6071,-80.1278,Composite | Stratovolcano,346030
Ventotene,40.8,13.42,Composite | Stratovolcano(es),211813
Utara Wetar,-6.635,126.66,Composite | Stratovolcano,265030
Ventura Volcanic Field,22.35,-100.7,Cluster | Maar(s),341809
Vangunu,-8.67,158.0,Composite | Stratovolcano,255808
Verkhovoy,56.52,159.53,Shield | Shield,300440
Viai,-3.39,144.404,Composite | Stratovolcano,251801
"Verde, Laguna",-23.252,-67.71,Composite | Stratovolcano,355849
Ustica,38.72,13.18,Composite | Stratovolcano(es),211819
Vico-Cimino Complex,42.367,12.188,Composite | Stratovolcano(es),211808
"Vigie, Morne la",18.78,-72.28,Minor | Pyroclastic cone,360800
Vershinsky,53.6,158.7,Composite | Stratovolcano,300833
Vinkh-Linkh,17.08,107.05,Minor | Cone,275803
Vilacollo,-18.241,-69.307,Minor | Pyroclastic cone(s),355812
Vitim Volcanic Field,53.75,113.25,Cluster | Volcanic field,302040
"Volcan, El",-22.33,-67.97,Composite | Stratovolcano,355841
Volcano OP,-28.218,-177.692,Composite | Stratovolcano,242032
Vokeo,-3.2,144.1,Composite | Stratovolcano,251800
Volcano Q,-27.468,-177.506,Composite | Stratovolcano,242041
Volsmar,-21.4847,170.2181,Cluster | Volcanic field,258005
"Volcanes, Los",20.33,-104.5,Cluster | Volcanic field,341816
Usangu Scarp Basalt,-8.624,33.583,Minor | Pyroclastic cone,222162
Vostochnaya Khodutka,51.93,157.73,Shield | Shield(s),300809
Voyampolsky,58.374,160.631,Shield | Shield(s),300720
"Vulture, Monte",40.92,15.67,Composite | Stratovolcano,211812
Volos-Atalanti,39.033,22.8,Cluster | Volcanic field,212801
Waianae,21.52,-158.15,Shield | Shield,332808
